"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2007","10,211.50","10,211.50","10,211.50","10,211.50","","0.76%"
"10/30/2007","10,134.60","10,134.60","10,134.60","10,134.60","","-0.55%"
"10/29/2007","10,190.90","10,190.90","10,190.90","10,190.90","","0.71%"
"10/26/2007","10,118.80","10,118.80","10,118.80","10,118.80","","0.60%"
"10/25/2007","10,058.40","10,058.40","10,058.40","10,058.40","","1.51%"
"10/24/2007","9,908.90","9,908.90","9,908.90","9,908.90","","-0.53%"
"10/23/2007","9,961.96","9,961.96","9,961.96","9,961.96","","0.77%"
"10/22/2007","9,885.50","9,885.50","9,885.50","9,885.50","","-1.38%"
"10/19/2007","10,023.80","10,023.80","10,023.80","10,023.80","","-0.46%"
"10/18/2007","10,070.50","10,070.50","10,070.50","10,070.50","","-0.89%"
"10/17/2007","10,160.60","10,160.60","10,160.60","10,160.60","","0.77%"
"10/16/2007","10,083.00","10,083.00","10,083.00","10,083.00","","-0.57%"
"10/15/2007","10,140.70","10,140.70","10,140.70","10,140.70","","-0.61%"
"10/12/2007","10,203.20","10,203.20","10,203.20","10,203.20","","-0.32%"
"10/11/2007","10,236.20","10,236.20","10,236.20","10,236.20","","0.42%"
"10/10/2007","10,193.70","10,193.70","10,193.70","10,193.70","","-0.40%"
"10/09/2007","10,234.60","10,234.60","10,234.60","10,234.60","","0.56%"
"10/08/2007","10,177.80","10,177.80","10,177.80","10,177.80","","-0.24%"
"10/05/2007","10,202.00","10,202.00","10,202.00","10,202.00","","0.67%"
"10/04/2007","10,134.10","10,134.10","10,134.10","10,134.10","","-0.03%"
"10/03/2007","10,137.20","10,137.20","10,137.20","10,137.20","","0.12%"
"10/02/2007","10,125.20","10,125.20","10,125.20","10,125.20","","0.45%"
"10/01/2007","10,079.80","10,079.80","10,079.80","10,079.80","","1.01%"
"09/28/2007","9,979.26","9,979.26","9,979.26","9,979.26","","-0.31%"
"09/27/2007","10,010.10","10,010.10","10,010.10","10,010.10","","0.75%"
"09/26/2007","9,935.74","9,935.74","9,935.74","9,935.74","","0.87%"
"09/25/2007","9,849.89","9,849.89","9,849.89","9,849.89","","-0.89%"
"09/24/2007","9,938.75","9,938.75","9,938.75","9,938.75","","-0.14%"
"09/21/2007","9,953.00","9,953.00","9,953.00","9,953.00","","0.21%"
"09/20/2007","9,932.25","9,932.25","9,932.25","9,932.25","","-0.73%"
"09/19/2007","10,005.70","10,005.70","10,005.70","10,005.70","","3.27%"
"09/18/2007","9,688.85","9,688.85","9,688.85","9,688.85","","2.02%"
"09/17/2007","9,496.82","9,496.82","9,496.82","9,496.82","","-1.80%"
"09/14/2007","9,670.63","9,670.63","9,670.63","9,670.63","","-0.49%"
"09/13/2007","9,717.86","9,717.86","9,717.86","9,717.86","","1.05%"
"09/12/2007","9,616.67","9,616.67","9,616.67","9,616.67","","0.53%"
"09/11/2007","9,565.90","9,565.90","9,565.90","9,565.90","","1.72%"
"09/10/2007","9,404.39","9,404.39","9,404.39","9,404.39","","-0.80%"
"09/07/2007","9,480.63","9,480.63","9,480.63","9,480.63","","-2.63%"
"09/06/2007","9,736.46","9,736.46","9,736.46","9,736.46","","0.45%"
"09/05/2007","9,692.68","9,692.68","9,692.68","9,692.68","","-2.14%"
"09/04/2007","9,904.24","9,904.24","9,904.24","9,904.24","","0.38%"
"09/03/2007","9,866.78","9,866.78","9,866.78","9,866.78","","-0.20%"
"08/31/2007","9,886.74","9,886.74","9,886.74","9,886.74","","1.27%"
"08/30/2007","9,762.76","9,762.76","9,762.76","9,762.76","","1.31%"
"08/29/2007","9,636.17","9,636.17","9,636.17","9,636.17","","0.84%"
"08/28/2007","9,556.13","9,556.13","9,556.13","9,556.13","","-2.08%"
"08/27/2007","9,759.29","9,759.29","9,759.29","9,759.29","","0.38%"
"08/24/2007","9,722.34","9,722.34","9,722.34","9,722.34","","0.83%"
"08/23/2007","9,641.95","9,641.95","9,641.95","9,641.95","","0.09%"
"08/22/2007","9,632.94","9,632.94","9,632.94","9,632.94","","1.83%"
"08/21/2007","9,459.44","9,459.44","9,459.44","9,459.44","","0.36%"
"08/20/2007","9,425.58","9,425.58","9,425.58","9,425.58","","0.67%"
"08/17/2007","9,363.16","9,363.16","9,363.16","9,363.16","","1.86%"
"08/16/2007","9,191.81","9,191.81","9,191.81","9,191.81","","-3.26%"
"08/15/2007","9,501.23","9,501.23","9,501.23","9,501.23","","-0.66%"
"08/14/2007","9,563.97","9,563.97","9,563.97","9,563.97","","-1.63%"
"08/13/2007","9,722.17","9,722.17","9,722.17","9,722.17","","2.21%"
"08/10/2007","9,511.56","9,511.56","9,511.56","9,511.56","","-3.13%"
"08/09/2007","9,819.05","9,819.05","9,819.05","9,819.05","","-2.17%"
"08/08/2007","10,036.40","10,036.40","10,036.40","10,036.40","","2.29%"
"08/07/2007","9,811.40","9,811.40","9,811.40","9,811.40","","1.58%"
"08/06/2007","9,658.82","9,658.82","9,658.82","9,658.82","","-1.16%"
"08/03/2007","9,772.11","9,772.11","9,772.11","9,772.11","","-1.48%"
"08/02/2007","9,919.05","9,919.05","9,919.05","9,919.05","","0.49%"
"08/01/2007","9,870.58","9,870.58","9,870.58","9,870.58","","-1.68%"
"07/31/2007","10,039.50","10,039.50","10,039.50","10,039.50","","1.85%"
"07/30/2007","9,856.72","9,856.72","9,856.72","9,856.72","","0.04%"
"07/27/2007","9,852.53","9,852.53","9,852.53","9,852.53","","-0.55%"
"07/26/2007","9,906.81","9,906.81","9,906.81","9,906.81","","-2.78%"
"07/25/2007","10,189.70","10,189.70","10,189.70","10,189.70","","-1.19%"
"07/24/2007","10,312.50","10,312.50","10,312.50","10,312.50","","-1.69%"
"07/23/2007","10,490.00","10,490.00","10,490.00","10,490.00","","0.87%"
"07/20/2007","10,399.30","10,399.30","10,399.30","10,399.30","","-1.79%"
"07/19/2007","10,588.40","10,588.40","10,588.40","10,588.40","","1.16%"
"07/18/2007","10,467.00","10,467.00","10,467.00","10,467.00","","-1.68%"
