"Date","Price","Open","High","Low","Vol.","Change %"
"06/24/2025","24,442.12","24,572.28","24,643.66","24,411.11","","1.04%"
"06/23/2025","24,190.45","24,230.08","24,384.22","24,086.81","","-0.68%"
"06/20/2025","24,356.91","24,381.05","24,508.31","24,313.04","","0.48%"
"06/19/2025","24,240.72","24,408.80","24,450.07","24,240.72","","-1.23%"
"06/18/2025","24,542.37","24,642.69","24,715.55","24,494.32","","-0.36%"
"06/17/2025","24,630.89","24,641.91","24,691.86","24,512.36","","-0.76%"
"06/16/2025","24,818.45","24,704.95","24,905.24","24,699.95","","0.75%"
"06/13/2025","24,633.93","24,587.01","24,726.87","24,552.02","","-1.04%"
"06/12/2025","24,891.76","24,814.60","24,951.13","24,677.35","","-0.14%"
"06/11/2025","24,926.35","25,038.35","25,131.88","24,926.35","","-0.36%"
"06/10/2025","25,017.49","24,954.16","25,053.06","24,905.86","","0.18%"
"06/09/2025","24,971.98","24,987.32","25,040.08","24,909.89","","-0.12%"
"06/06/2025","25,000.75","24,968.74","25,033.20","24,888.55","","0.19%"
"06/05/2025","24,953.97","25,020.96","25,139.21","24,861.96","","-0.18%"
"06/04/2025","25,000.11","24,969.33","25,123.57","24,919.04","","0.53%"
"06/03/2025","24,869.33","24,832.33","24,874.50","24,662.51","","0.39%"
"06/02/2025","24,772.15","24,700.82","24,794.83","24,553.52","","-0.17%"
"05/30/2025","24,815.50","24,892.77","25,006.24","24,802.73","","-0.33%"
"05/29/2025","24,897.50","25,175.97","25,186.05","24,897.50","","-0.07%"
"05/28/2025","24,916.15","25,035.51","25,125.86","24,914.48","","-0.49%"
"05/27/2025","25,039.92","25,007.04","25,134.58","24,980.23","","0.04%"
"05/26/2025","25,029.29","25,045.26","25,068.15","24,938.88","","1.34%"
"05/23/2025","24,698.74","25,153.70","25,192.35","24,334.70","","-1.65%"
"05/22/2025","25,113.99","25,133.57","25,186.36","24,930.73","","-0.58%"
"05/21/2025","25,261.07","25,271.45","25,325.29","25,141.95","","-0.35%"
"05/20/2025","25,349.04","25,213.27","25,390.85","25,145.36","","0.79%"
"05/19/2025","25,149.81","25,056.01","25,149.81","24,961.66","","0.36%"
"05/16/2025","25,060.37","25,022.99","25,151.69","24,961.96","","0.42%"
"05/15/2025","24,954.82","24,804.37","24,954.82","24,786.09","","0.22%"
"05/14/2025","24,900.33","25,022.97","25,030.46","24,801.55","","-0.47%"
"05/13/2025","25,018.03","24,919.54","25,035.66","24,913.40","","0.43%"
"05/12/2025","24,911.21","24,753.27","25,006.72","24,701.10","","1.68%"
"05/09/2025","24,498.60","24,461.46","24,572.38","24,433.38","","0.64%"
"05/08/2025","24,342.59","24,224.29","24,422.87","24,189.46","","0.94%"
"05/07/2025","24,116.66","24,247.28","24,281.31","24,073.57","","-0.84%"
"05/06/2025","24,320.42","24,466.25","24,476.40","24,165.16","","-0.40%"
"05/05/2025","24,418.42","24,442.48","24,479.93","24,371.97","","-0.08%"
"05/02/2025","24,438.60","24,248.64","24,467.59","24,150.90","","2.33%"
"04/30/2025","23,883.15","23,860.44","23,931.74","23,626.40","","0.50%"
"04/29/2025","23,763.64","23,815.10","23,866.03","23,693.49","","-0.24%"
"04/28/2025","23,819.90","23,790.04","23,960.77","23,790.04","","0.50%"
"04/25/2025","23,700.92","23,792.25","23,820.19","23,665.99","","0.61%"
"04/24/2025","23,558.25","23,387.87","23,572.43","23,270.49","","0.38%"
"04/23/2025","23,468.19","23,222.19","23,696.56","23,222.19","","2.13%"
"04/22/2025","22,979.25","22,848.64","22,979.25","22,640.92","","0.84%"
"04/17/2025","22,788.75","22,870.24","22,931.93","22,700.88","","-0.60%"
"04/16/2025","22,926.71","22,759.14","22,933.52","22,657.10","","-0.07%"
"04/15/2025","22,943.72","22,692.42","22,971.24","22,644.46","","0.86%"
"04/14/2025","22,748.90","22,639.10","22,860.39","22,591.69","","2.37%"
"04/11/2025","22,222.43","22,493.56","22,534.58","21,918.51","","-0.30%"
"04/10/2025","22,288.80","22,822.04","23,097.19","22,288.80","","3.83%"
"04/09/2025","21,466.18","21,589.43","21,892.60","21,245.83","","-3.34%"
"04/08/2025","22,208.72","22,007.76","22,456.05","21,744.89","","2.50%"
"04/07/2025","21,666.67","21,284.23","22,788.33","21,155.71","","-4.78%"
"04/04/2025","22,754.63","23,603.76","23,622.82","22,569.49","","-4.26%"
"04/03/2025","23,768.12","24,051.61","24,212.07","23,724.39","","-3.31%"
"04/02/2025","24,580.89","24,556.02","24,582.70","24,374.92","","-0.22%"
"04/01/2025","24,635.72","24,514.02","24,660.70","24,442.94","","1.10%"
"03/31/2025","24,367.82","24,551.16","24,563.32","24,252.18","","-1.58%"
"03/28/2025","24,759.95","24,863.63","24,945.96","24,692.82","","-0.93%"
"03/27/2025","24,991.51","24,924.86","25,072.14","24,793.89","","-0.51%"
"03/26/2025","25,118.39","25,403.71","25,422.21","25,101.31","","-0.86%"
"03/25/2025","25,336.99","25,131.19","25,442.97","25,131.19","","1.08%"
"03/24/2025","25,067.45","25,324.85","25,355.30","25,004.98","","-0.25%"
"03/21/2025","25,131.15","25,191.50","25,232.68","25,029.01","","-0.63%"
